grouping,dimension_value,quarter,loan_outstanding_cr,gnpa_pct_wtd,nnpa_pct_wtd,crar_pct_wtd,roa_pct_wtd
layer,Base Layer,FY21Q4,212298.36,7.12,3.204,25.0,1.558
layer,Base Layer,FY22Q2,227702.27,7.238,3.039,26.259,1.605
layer,Base Layer,FY22Q4,237658.43,6.525,2.544,26.956,1.734
layer,Base Layer,FY23Q2,259748.95,5.629,2.029,27.421,2.121
layer,Base Layer,FY23Q4,276590.36,4.458,1.471,27.653,2.878
layer,Base Layer,FY24Q2,304448.53,4.225,1.269,27.557,3.089
layer,Base Layer,FY24Q4,336077.97,2.786,0.754,26.444,3.276
layer,Base Layer,FY25Q2,365044.27,3.766,0.905,26.065,3.007
layer,Base Layer,FY25Q4,384627.52,3.437,0.722,25.609,2.804
layer,Middle Layer,FY21Q4,2565036.09,6.544,2.942,25.142,1.532
layer,Middle Layer,FY22Q2,2805219.85,6.746,2.835,26.205,1.612
layer,Middle Layer,FY22Q4,2968161.34,6.111,2.382,26.543,1.705
layer,Middle Layer,FY23Q2,3174893.2,5.228,1.885,27.593,2.126
layer,Middle Layer,FY23Q4,3327610.77,4.092,1.351,27.666,2.867
layer,Middle Layer,FY24Q2,3736732.49,3.969,1.191,27.557,3.102
layer,Middle Layer,FY24Q4,4304704.11,2.58,0.697,26.692,3.296
layer,Middle Layer,FY25Q2,4393406.73,3.488,0.837,26.261,2.984
layer,Middle Layer,FY25Q4,4721753.29,3.215,0.675,25.657,2.813
layer,Upper Layer,FY21Q4,1274574.33,5.806,2.613,24.575,1.499
layer,Upper Layer,FY22Q2,1314400.39,6.025,2.531,26.177,1.588
layer,Upper Layer,FY22Q4,1403826.03,5.329,2.08,26.58,1.709
layer,Upper Layer,FY23Q2,1491540.67,4.673,1.683,27.326,2.097
layer,Upper Layer,FY23Q4,1663614.3,3.617,1.194,27.549,2.92
layer,Upper Layer,FY24Q2,1784705.85,3.457,1.037,27.765,3.105
layer,Upper Layer,FY24Q4,1953849.11,2.281,0.616,26.786,3.275
layer,Upper Layer,FY25Q2,2069753.96,3.119,0.747,25.961,3.066
layer,Upper Layer,FY25Q4,2293709.15,2.818,0.592,25.928,2.769
sector,Infrastructure,FY21Q4,403844.98,5.04,2.269,24.486,1.513
