nbfc_id,nbfc_name,layer,region
NBFC001,UpperFin 01 Ltd,Upper Layer,South
NBFC002,UpperFin 02 Ltd,Upper Layer,North
NBFC003,UpperFin 03 Ltd,Upper Layer,East
NBFC004,UpperFin 04 Ltd,Upper Layer,Central
NBFC005,UpperFin 05 Ltd,Upper Layer,West
NBFC006,UpperFin 06 Ltd,Upper Layer,South
NBFC007,UpperFin 07 Ltd,Upper Layer,North
NBFC008,UpperFin 08 Ltd,Upper Layer,East
NBFC009,UpperFin 09 Ltd,Upper Layer,Central
NBFC010,UpperFin 10 Ltd,Upper Layer,West
NBFC011,UpperFin 11 Ltd,Upper Layer,South
NBFC012,UpperFin 12 Ltd,Upper Layer,North
NBFC013,UpperFin 13 Ltd,Upper Layer,East
NBFC014,UpperFin 14 Ltd,Upper Layer,Central
NBFC015,UpperFin 15 Ltd,Upper Layer,West
NBFC016,MiddleFin 16 Ltd,Middle Layer,South
NBFC017,MiddleFin 17 Ltd,Middle Layer,North
NBFC018,MiddleFin 18 Ltd,Middle Layer,East
NBFC019,MiddleFin 19 Ltd,Middle Layer,Central
NBFC020,MiddleFin 20 Ltd,Middle Layer,West
NBFC021,MiddleFin 21 Ltd,Middle Layer,South
NBFC022,MiddleFin 22 Ltd,Middle Layer,North
NBFC023,MiddleFin 23 Ltd,Middle Layer,East
NBFC024,MiddleFin 24 Ltd,Middle Layer,Central
NBFC025,MiddleFin 25 Ltd,Middle Layer,West
NBFC026,MiddleFin 26 Ltd,Middle Layer,South
NBFC027,MiddleFin 27 Ltd,Middle Layer,North
NBFC028,MiddleFin 28 Ltd,Middle Layer,East
NBFC029,MiddleFin 29 Ltd,Middle Layer,Central
NBFC030,MiddleFin 30 Ltd,Middle Layer,West
NBFC031,MiddleFin 31 Ltd,Middle Layer,South
NBFC032,MiddleFin 32 Ltd,Middle Layer,North
NBFC033,MiddleFin 33 Ltd,Middle Layer,East
NBFC034,MiddleFin 34 Ltd,Middle Layer,Central
NBFC035,MiddleFin 35 Ltd,Middle Layer,West
NBFC036,MiddleFin 36 Ltd,Middle Layer,South
NBFC037,MiddleFin 37 Ltd,Middle Layer,North
NBFC038,MiddleFin 38 Ltd,Middle Layer,East
NBFC039,MiddleFin 39 Ltd,Middle Layer,Central
NBFC040,MiddleFin 40 Ltd,Middle Layer,West
NBFC041,BaseFin 41 Ltd,Base Layer,South
NBFC042,BaseFin 42 Ltd,Base Layer,North
NBFC043,BaseFin 43 Ltd,Base Layer,East
NBFC044,BaseFin 44 Ltd,Base Layer,Central
NBFC045,BaseFin 45 Ltd,Base Layer,West
NBFC046,BaseFin 46 Ltd,Base Layer,South
NBFC047,BaseFin 47 Ltd,Base Layer,North
NBFC048,BaseFin 48 Ltd,Base Layer,East
NBFC049,BaseFin 49 Ltd,Base Layer,Central
NBFC050,BaseFin 50 Ltd,Base Layer,West
NBFC051,BaseFin 51 Ltd,Base Layer,South
NBFC052,BaseFin 52 Ltd,Base Layer,North
NBFC053,BaseFin 53 Ltd,Base Layer,East
NBFC054,BaseFin 54 Ltd,Base Layer,Central
NBFC055,BaseFin 55 Ltd,Base Layer,West
NBFC056,BaseFin 56 Ltd,Base Layer,South
NBFC057,BaseFin 57 Ltd,Base Layer,North
NBFC058,BaseFin 58 Ltd,Base Layer,East
NBFC059,BaseFin 59 Ltd,Base Layer,Central
NBFC060,BaseFin 60 Ltd,Base Layer,West
