nbfc_id,layer,quarter,period_end,sector,loan_outstanding_cr,gnpa_pct,gnpa_amount_cr,nnpa_pct,nnpa_amount_cr,pcr,crar_pct,roa_pct
NBFC001,Upper Layer,FY21Q4,2021-03-31,Infrastructure,13414.55,5.019,673.28,2.259,303.03,0.55,23.76,1.706
NBFC001,Upper Layer,FY21Q4,2021-03-31,MSME,11498.19,7.131,819.94,3.209,368.98,0.55,27.07,1.973
NBFC001,Upper Layer,FY21Q4,2021-03-31,Microfinance,3832.73,11.756,450.58,5.29,202.75,0.55,26.95,1.68
NBFC001,Upper Layer,FY21Q4,2021-03-31,Retail (Gold),5749.09,2.006,115.33,0.903,51.91,0.55,25.88,1.064
NBFC001,Upper Layer,FY21Q4,2021-03-31,Retail (Housing),21080.01,3.14,661.91,1.413,297.86,0.55,23.94,1.5565
NBFC001,Upper Layer,FY21Q4,2021-03-31,Retail (Vehicle),19163.65,5.976,1145.22,2.689,515.31,0.55,25.93,1.342
NBFC001,Upper Layer,FY21Q4,2021-03-31,Wholesale/Corporate,11498.19,6.215,714.61,2.797,321.6,0.55,23.66,2.034
NBFC001,Upper Layer,FY22Q2,2021-09-30,Infrastructure,14168.75,5.048,715.24,2.12,300.38,0.58,24.03,1.459
NBFC001,Upper Layer,FY22Q2,2021-09-30,MSME,12144.64,7.356,893.36,3.09,375.27,0.58,28.75,1.17
NBFC001,Upper Layer,FY22Q2,2021-09-30,Microfinance,4048.21,12.373,500.89,5.197,210.39,0.58,27.27,1.075
NBFC001,Upper Layer,FY22Q2,2021-09-30,Retail (Gold),6072.32,2.036,123.63,0.855,51.92,0.58,28.57,2.102
NBFC001,Upper Layer,FY22Q2,2021-09-30,Retail (Housing),22265.17,3.211,714.93,1.349,300.36,0.58,24.88,1.677
NBFC001,Upper Layer,FY22Q2,2021-09-30,Retail (Personal/Unsecured),10120.53,10.329,1045.35,4.338,439.03,0.58,24.11,2.062
NBFC001,Upper Layer,FY22Q2,2021-09-30,Retail (Vehicle),20241.07,6.291,1273.37,2.642,534.77,0.58,28.67,1.615
NBFC001,Upper Layer,FY22Q2,2021-09-30,Wholesale/Corporate,12144.64,6.569,797.78,2.759,335.07,0.58,27.72,1.936
NBFC001,Upper Layer,FY22Q4,2022-03-31,Infrastructure,14926.1,4.78,713.47,1.8205,271.73,0.619,26.85,1.747
NBFC001,Upper Layer,FY22Q4,2022-03-31,MSME,12793.8,6.585,842.47,2.568,328.54,0.61,28.51,1.977
NBFC001,Upper Layer,FY22Q4,2022-03-31,Microfinance,4264.6,11.355,484.25,4.428,188.84,0.61,26.74,1.27
NBFC001,Upper Layer,FY22Q4,2022-03-31,Retail (Gold),6396.9,1.801,115.21,0.702,44.91,0.61,26.74,2.258
NBFC001,Upper Layer,FY22Q4,2022-03-31,Retail (Housing),23455.3,2.798,656.28,1.091,255.9,0.61,25.78,1.979
NBFC001,Upper Layer,FY22Q4,2022-03-31,Retail (Personal/Unsecured),10661.5,9.061,966.04,3.534,376.78,0.61,29.37,1.669
NBFC001,Upper Layer,FY22Q4,2022-03-31,Retail (Vehicle),21323.0,5.547,1182.79,2.163,461.22,0.61,28.77,1.3
NBFC001,Upper Layer,FY22Q4,2022-03-31,Wholesale/Corporate,12793.8,5.863,750.1,2.287,292.59,0.61,28.7,2.07
NBFC001,Upper Layer,FY23Q2,2022-09-30,Infrastructure,16156.79,4.153,670.99,1.495,241.54,0.64,30.21,2.102
NBFC001,Upper Layer,FY23Q2,2022-09-30,MSME,13848.68,5.722,792.42,2.06,285.28,0.64,28.97,1.664
NBFC001,Upper Layer,FY23Q2,2022-09-30,Microfinance,4616.23,9.269,427.88,3.337,154.04,0.64,28.05,1.596
NBFC001,Upper Layer,FY23Q2,2022-09-30,Retail (Gold),6924.34,1.513,104.77,0.545,37.74,0.64,25.19,1.855
NBFC001,Upper Layer,FY23Q2,2022-09-30,Retail (Housing),25389.24,2.531,642.6,0.896,227.49,0.646,28.2,2.397
NBFC001,Upper Layer,FY23Q2,2022-09-30,Retail (Personal/Unsecured),11540.56,7.623,879.74,2.744,316.67,0.64,27.83,2.004
NBFC001,Upper Layer,FY23Q2,2022-09-30,Retail (Vehicle),23081.13,4.794,1106.51,1.726,398.38,0.64,27.71,1.827
NBFC001,Upper Layer,FY23Q2,2022-09-30,Wholesale/Corporate,13848.68,5.43,751.98,1.955,270.74,0.64,27.14,2.505
NBFC001,Upper Layer,FY23Q4,2023-03-31,Infrastructure,17450.6,3.09,539.22,1.02,178.0,0.67,24.53,3.077
NBFC001,Upper Layer,FY23Q4,2023-03-31,MSME,14957.65,4.363,652.6,1.44,215.39,0.67,28.71,3.221
NBFC001,Upper Layer,FY23Q4,2023-03-31,Microfinance,4985.88,7.65,381.42,2.524,125.84,0.67,29.53,2.71
NBFC001,Upper Layer,FY23Q4,2023-03-31,Retail (Gold),7478.83,1.27,94.98,0.405,30.29,0.681,28.25,2.631
NBFC001,Upper Layer,FY23Q4,2023-03-31,Retail (Housing),27422.36,1.941,532.27,0.641,175.78,0.67,28.35,3.456
