nbfc_id,nbfc_name,layer,region,quarter,period_end,sector,loan_outstanding_cr,gnpa_pct,nnpa_pct,crar_pct,roa_pct
  NBFC020 ,MiddleFin 20 Ltd,Middle Layer,West,FY23Q2,30-09-2022,Wholesale/Corporate,20726.18,5.044,1.816,26.56,1.834
NBFC023,MiddleFin 23 Ltd,Middle Layer,East,FY22Q2,30-09-2021,Infrastructure,10864.71,5.393,2.265,26.86,2.118
NBFC026,MiddleFin 26 Ltd,ML,South,FY24Q4,31-03-2024,Infrastructure,14833.51,1.957,0.528,28.1,3.394
NBFC016,MiddleFin 16 Ltd,Middle Layer,South,FY24Q4,2024-03-31,Retail (Housing),26946.16,1.272,0.343,26.72,2.846
NBFC055,BaseFin 55 Ltd,Base Layer,West,FY21Q4,2021-03-31,Retail (Housing),708.53,3.096,1.393,24.23,1.369
NBFC008,UpperFin 08 Ltd,Upper Layer,East,FY25Q2,30/09/2024,  Infrastructure ,26607.13,2.6,0.624,28.4,2.929
NBFC058,BaseFin 58 Ltd,Base Layer,East,FY24Q2,2023-09-30,Infrastructure,268.48,3.136,0.941,26.1,3.388
NBFC032,MiddleFin 32 Ltd,  Middle Layer ,North,FY23Q4,2023-03-31,MSME,17981.72,N/A,1.444,28.52,3.069
NBFC037,MiddleFin 37 Ltd,Middle  Layer,North,FY25Q4,2025-03-31,Microfinance,"21,673.47",5.78,1.214,25.18,2.413
NBFC007,UpperFin 07 Ltd,Upper Layer,North,FY25Q4,31-03-2025,Retail (Vehicle),15467.16,999,0.594,24.63,3.209
NBFC034,MiddleFin 34 Ltd,ML,Central,FY24Q4,31/03/2024,Infrastructure,"10,120.08",2.044,0.552,25.02,2.92
NBFC036,MiddleFin 36 Ltd,ML,South,FY23Q4,31/03/2023,MFI,12639.99,7.664,2.529,27.67,2.667
NBFC013,UpperFin 13 Ltd,Upper Layer,East,FY23Q2,30/09/2022,Retail (Personal/Unsecured),7743.01,8.17,2.941,26.72%,1.532
NBFC055,BaseFin 55 Ltd,BL,West,FY24Q2,30/09/2023,Retail (Personal/Unsecured),2261.34,6.095,1.828,26.35,3.076
NBFC037,MiddleFin 37 Ltd,  Middle Layer ,North,FY22Q2,30/09/2021,Retail (Vehicle),16983.23,5.902,2.479,23.5,1.064
  NBFC035 ,MiddleFin 35 Ltd,Middle  Layer,West,FY23Q2,30-09-2022,Infrastructure,13274.37,3.882,1.398,29.85,2.09
NBFC021,MiddleFin 21 Ltd,Middle Layer,South,FY23Q2,2022-09-30,Retail (Housing),13939.84,2.441,0.879,28.48,2.557
NBFC041,BaseFin 41 Ltd,Base Layer,South,FY23Q2,30-09-2022,Retail (Personal/Unsecured),1826.55,8.116,2.922,25.79,1.605
NBFC014,UpperFin 14 Ltd,Upper Layer,Central,FY24Q4,2024-03-31,Retail (Gold),7634.05,0.762%,0.206,27.26,3.66
NBFC045,BaseFin 45 Ltd,BL,West,FY24Q2,30/09/2023,MSME,2435.56,4.448,1.334,25.28%,2.724
NBFC025,MiddleFin 25 Ltd,Middle Layer,West,FY21Q4,31-03-2021,gold,6191.03,1.938%,0.872,24.39,1.872
NBFC043,BaseFin 43 Ltd,Base Layer,East,FY23Q2,30-09-2022,Retail (Vehicle),1832.25,4.934,1.776,25.67,1.637
NBFC023,MiddleFin 23 Ltd,Middle Layer,East,FY22Q2,2021-09-30,Retail (Gold),"13,580.88",2.049,5.0489999999999995,999,1.838
NBFC053,BaseFin 53 Ltd,BL,East,FY25Q2,2024-09-30,  Microfinance ,2032.91,6.125,1.47,23.67,3.391
NBFC012,UpperFin 12 Ltd,  Upper Layer ,North,FY25Q4,2025-03-31,Retail (Gold),"7,148.74",0.999,0.21,24.86,2.903
NBFC054,BaseFin 54 Ltd,Base Layer,Central,FY22Q4,31-03-2022,MSME,"1,487.92",6.855,2.673,28.03,1.302
NBFC015,UpperFin 15 Ltd,Upper Layer,West,FY24Q2,30-09-2023,Microfinance,4854.18,6.809,2.043,25.69,2.755
NBFC059,BaseFin 59 Ltd,Base Layer,Central,FY22Q4,2022-03-31,Retail (Housing),1416.45,2.786,1.087,27.83,1.179
NBFC054,BaseFin 54 Ltd,BL,Central,FY24Q2,2023-09-30,Retail (Personal/Unsecured),2438.82,5.977,1.793,25.09,2.611
NBFC034,MiddleFin 34 Ltd,Middle  Layer,Central,FY25Q4,31/03/2025,Microfinance,"17,258.35",5.874,1.234,23.29,2.978
NBFC007,UpperFin 07 Ltd,Upper Layer,North,FY25Q2,2024-09-30,Retail (Vehicle),14535.89,3.161,0.759,24.11,2.998
NBFC045,BaseFin 45 Ltd,base layer,West,FY23Q2,30-09-2022,Retail (Personal/Unsecured),2658.86,7.958,2.865,24.74,1.965
NBFC036,MiddleFin 36 Ltd,Middle Layer,South,FY25Q2,30/09/2024,micro finance,"16,411.42",6.297,1.511,27.93,3.49
NBFC045,BaseFin 45 Ltd,Base Layer,West,FY25Q4,31/03/2025,MSME,3085.85,3.704,0.778,25.57,3.316
NBFC018,MiddleFin 18 Ltd,middle layer,East,FY22Q2,30/09/2021,Retail (Vehicle),25247.44,5.774,2.425,28.93,NA
NBFC019,MiddleFin 19 Ltd,Middle Layer,Central,FY23Q2,30-09-2022,M.S.M.E,24993.0,5.971,2.15,24.7,1.714
NBFC014,UpperFin 14 Ltd,Upper Layer,Central,FY21Q4,31-03-2021,Retail (Housing),18061.28,3.091,1.391,23.4,1.82
NBFC012,UpperFin 12 Ltd,  Upper Layer ,North,FY23Q2,30/09/2022,MSME,9581.56,5.692,2.049,null,1.596
NBFC017,MiddleFin 17 Ltd,Middle Layer,North,FY22Q2,30/09/2021,Retail (Housing),25558.01,3.184,1.337,27.53,1.25
NBFC005,UpperFin 05 Ltd,Upper Layer,West,FY24Q2,30/09/2023,microfinance,"3,866.56",6.96,2.088,28.37,3.277
NBFC040,MiddleFin 40 Ltd,Middle Layer,West,FY24Q4,31-03-2024,Wholesale/Corporate,"11,956.92",2.49,0.672,28.24,3.576
NBFC033,MiddleFin 33 Ltd,Middle Layer,East,FY22Q4,31-03-2022,Retail (Gold),"6,581.46",1.818,0.709,NA,1.249
NBFC004,UpperFin 04 Ltd,UPPER LAYER,Central,FY23Q4,31/03/2023,MSME,9641.31,4.397,1.451,28.2,3.175
NBFC036,MiddleFin 36 Ltd,Middle Layer,South,FY23Q2,30/09/2022,Microfinance,11702.85,9.846,3.545,24.79,2.682
NBFC002,UpperFin 02 Ltd,Upper Layer,North,FY22Q2,2021-09-30,Microfinance,5027.32,11.632,4.885,24.8,1.411
NBFC050,BaseFin 50 Ltd,Base Layer,West,FY25Q4,31-03-2025,Retail (Personal/Unsecured),4773.83,4.887,1.026,27.78,2.448
NBFC050,BaseFin 50 Ltd,Base Layer,West,FY23Q4,2023-03-31,Retail (Personal/Unsecured),"3,455.40",5.942,1.961,,3.046
NBFC038,MiddleFin 38 Ltd,ML,East,FY22Q4,31-03-2022,Wholesale/Corporate,6477.82,6.002,2.341,23.79,1.552
NBFC017,MiddleFin 17 Ltd,Middle Layer,North,FY23Q4,31-03-2023,Retail (Gold),22484.22,1.181,0.39,NA,3.412
NBFC018,MiddleFin 18 Ltd,ML,East,FY24Q2,2023-09-30,Retail (Housing),"29,668.56",1.786,0.536,27.5%,2.765
